SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,20,AODV,7.5
1,0,0,20,AODV,7.5
2,0,0,20,AODV,7.5
3,0,0,20,AODV,7.5
4,0,0,20,AODV,7.5
5,0,0,20,AODV,7.5
6,0,0,20,AODV,7.5
7,0,0,20,AODV,7.5
8,0,0,20,AODV,7.5
9,0,0,20,AODV,7.5
10,0,0,20,AODV,7.5
11,0,0,20,AODV,7.5
12,0,0,20,AODV,7.5
13,0,0,20,AODV,7.5
14,0,0,20,AODV,7.5
15,0,0,20,AODV,7.5
16,0,0,20,AODV,7.5
17,0,0,20,AODV,7.5
18,0,0,20,AODV,7.5
19,0,0,20,AODV,7.5
20,0,0,20,AODV,7.5
21,0,0,20,AODV,7.5
22,0,0,20,AODV,7.5
23,0,0,20,AODV,7.5
24,0,0,20,AODV,7.5
25,0,0,20,AODV,7.5
26,0,0,20,AODV,7.5
27,0,0,20,AODV,7.5
28,0,0,20,AODV,7.5
29,0,0,20,AODV,7.5
30,0,0,20,AODV,7.5
31,0,0,20,AODV,7.5
32,0,0,20,AODV,7.5
33,0,0,20,AODV,7.5
34,0,0,20,AODV,7.5
35,0,0,20,AODV,7.5
36,0,0,20,AODV,7.5
37,0,0,20,AODV,7.5
38,0,0,20,AODV,7.5
39,0,0,20,AODV,7.5
40,0,0,20,AODV,7.5
41,0,0,20,AODV,7.5
42,0,0,20,AODV,7.5
43,0,0,20,AODV,7.5
44,0,0,20,AODV,7.5
45,0,0,20,AODV,7.5
46,0,0,20,AODV,7.5
47,0,0,20,AODV,7.5
48,0,0,20,AODV,7.5
49,0,0,20,AODV,7.5
50,0,0,20,AODV,7.5
51,2.048,4,20,AODV,7.5
52,12.8,25,20,AODV,7.5
53,8.704,17,20,AODV,7.5
54,6.656,13,20,AODV,7.5
55,8.704,17,20,AODV,7.5
56,10.752,21,20,AODV,7.5
57,19.968,39,20,AODV,7.5
58,24.064,47,20,AODV,7.5
59,24.064,47,20,AODV,7.5
60,22.528,44,20,AODV,7.5
61,19.456,38,20,AODV,7.5
62,13.312,26,20,AODV,7.5
63,18.432,36,20,AODV,7.5
64,16.896,33,20,AODV,7.5
65,23.552,46,20,AODV,7.5
66,10.24,20,20,AODV,7.5
67,15.36,30,20,AODV,7.5
68,11.264,22,20,AODV,7.5
69,10.24,20,20,AODV,7.5
70,10.752,21,20,AODV,7.5
71,10.752,21,20,AODV,7.5
72,13.312,26,20,AODV,7.5
73,19.456,38,20,AODV,7.5
74,11.264,22,20,AODV,7.5
75,18.432,36,20,AODV,7.5
76,14.336,28,20,AODV,7.5
77,7.68,15,20,AODV,7.5
78,10.24,20,20,AODV,7.5
79,10.24,20,20,AODV,7.5
80,13.824,27,20,AODV,7.5
81,10.24,20,20,AODV,7.5
82,3.584,7,20,AODV,7.5
83,3.584,7,20,AODV,7.5
84,5.12,10,20,AODV,7.5
85,5.12,10,20,AODV,7.5
86,5.12,10,20,AODV,7.5
87,4.096,8,20,AODV,7.5
88,8.192,16,20,AODV,7.5
89,11.264,22,20,AODV,7.5
90,7.68,15,20,AODV,7.5
91,6.656,13,20,AODV,7.5
92,2.048,4,20,AODV,7.5
93,4.608,9,20,AODV,7.5
94,7.168,14,20,AODV,7.5
95,3.584,7,20,AODV,7.5
96,7.68,15,20,AODV,7.5
97,14.848,29,20,AODV,7.5
98,10.24,20,20,AODV,7.5
99,8.192,16,20,AODV,7.5
,,,,,
Avg kbps,11.38133333,,,,
