SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,20,DSR,7.5
1,0,0,20,DSR,7.5
2,0,0,20,DSR,7.5
3,0,0,20,DSR,7.5
4,0,0,20,DSR,7.5
5,0,0,20,DSR,7.5
6,0,0,20,DSR,7.5
7,0,0,20,DSR,7.5
8,0,0,20,DSR,7.5
9,0,0,20,DSR,7.5
10,0,0,20,DSR,7.5
11,0,0,20,DSR,7.5
12,0,0,20,DSR,7.5
13,0,0,20,DSR,7.5
14,0,0,20,DSR,7.5
15,0,0,20,DSR,7.5
16,0,0,20,DSR,7.5
17,0,0,20,DSR,7.5
18,0,0,20,DSR,7.5
19,0,0,20,DSR,7.5
20,0,0,20,DSR,7.5
21,0,0,20,DSR,7.5
22,0,0,20,DSR,7.5
23,0,0,20,DSR,7.5
24,0,0,20,DSR,7.5
25,0,0,20,DSR,7.5
26,0,0,20,DSR,7.5
27,0,0,20,DSR,7.5
28,0,0,20,DSR,7.5
29,0,0,20,DSR,7.5
30,0,0,20,DSR,7.5
31,0,0,20,DSR,7.5
32,0,0,20,DSR,7.5
33,0,0,20,DSR,7.5
34,0,0,20,DSR,7.5
35,0,0,20,DSR,7.5
36,0,0,20,DSR,7.5
37,0,0,20,DSR,7.5
38,0,0,20,DSR,7.5
39,0,0,20,DSR,7.5
40,0,0,20,DSR,7.5
41,0,0,20,DSR,7.5
42,0,0,20,DSR,7.5
43,0,0,20,DSR,7.5
44,0,0,20,DSR,7.5
45,0,0,20,DSR,7.5
46,0,0,20,DSR,7.5
47,0,0,20,DSR,7.5
48,0,0,20,DSR,7.5
49,0,0,20,DSR,7.5
50,0,0,20,DSR,7.5
51,6.144,12,20,DSR,7.5
52,29.696,58,20,DSR,7.5
53,34.304,67,20,DSR,7.5
54,41.984,82,20,DSR,7.5
55,35.84,70,20,DSR,7.5
56,34.816,68,20,DSR,7.5
57,32.768,64,20,DSR,7.5
58,35.328,69,20,DSR,7.5
59,35.328,69,20,DSR,7.5
60,34.304,67,20,DSR,7.5
61,34.304,67,20,DSR,7.5
62,30.72,60,20,DSR,7.5
63,33.792,66,20,DSR,7.5
64,33.28,65,20,DSR,7.5
65,36.352,71,20,DSR,7.5
66,34.304,67,20,DSR,7.5
67,32.768,64,20,DSR,7.5
68,32.256,63,20,DSR,7.5
69,34.304,67,20,DSR,7.5
70,32.768,64,20,DSR,7.5
71,32.768,64,20,DSR,7.5
72,33.28,65,20,DSR,7.5
73,32.768,64,20,DSR,7.5
74,32.768,64,20,DSR,7.5
75,31.232,61,20,DSR,7.5
76,33.28,65,20,DSR,7.5
77,31.744,62,20,DSR,7.5
78,33.28,65,20,DSR,7.5
79,32.256,63,20,DSR,7.5
80,32.256,63,20,DSR,7.5
81,31.744,62,20,DSR,7.5
82,32.256,63,20,DSR,7.5
83,30.72,60,20,DSR,7.5
84,32.256,63,20,DSR,7.5
85,32.256,63,20,DSR,7.5
86,30.208,59,20,DSR,7.5
87,32.256,63,20,DSR,7.5
88,30.72,60,20,DSR,7.5
89,28.672,56,20,DSR,7.5
90,29.184,57,20,DSR,7.5
91,29.184,57,20,DSR,7.5
92,29.184,57,20,DSR,7.5
93,28.16,55,20,DSR,7.5
94,26.112,51,20,DSR,7.5
95,29.184,57,20,DSR,7.5
96,28.16,55,20,DSR,7.5
97,29.184,57,20,DSR,7.5
98,31.232,61,20,DSR,7.5
99,29.696,58,20,DSR,7.5
